Date,Cnsmr,Manuf,HiTec,Hlth,Other
192607,5.43,2.73,1.83,1.77,2.16
192608,2.76,2.33,2.41,4.25,4.38
192609,2.16,-0.44,1.06,0.69,0.29
192610,-3.90,-2.42,-2.26,-0.57,-2.85
192611,3.70,2.50,3.07,5.42,2.11
192612,3.62,2.76,1.03,0.11,3.40
192701,-1.19,0.15,0.46,5.05,1.51
192702,5.28,4.00,4.19,1.71,5.06
192703,1.64,-1.43,3.65,1.01,1.27
192704,3.52,-1.13,1.35,2.74,0.86
192705,6.09,5.67,5.28,4.12,6.43
192706,-1.95,-3.03,0.51,0.54,-2.11
192707,8.69,7.51,7.59,9.84,6.09
192708,5.23,1.97,2.94,0.28,-1.06
192709,5.89,4.90,3.93,5.65,4.60
192710,-3.00,-4.70,-4.54,5.13,-3.79
192711,7.75,7.70,6.52,3.68,4.50
192712,3.61,2.20,1.28,-0.46,1.98
192801,-1.21,0.18,-0.03,2.69,-0.99
192802,-1.53,-1.11,-0.38,-1.38,-2.00
192803,13.88,6.96,10.32,10.54,6.09
192804,0.44,7.69,2.70,2.35,4.22
192805,3.51,0.10,4.36,9.27,0.01
192806,-4.05,-4.35,-5.12,-3.15,-4.27
192807,2.20,1.03,-0.29,2.39,-0.36
192808,8.99,6.28,7.23,14.57,4.75
192809,3.66,4.44,0.42,-1.14,1.98
192810,1.69,2.39,2.38,0.05,-0.42
192811,7.80,16.03,13.46,5.05,10.02
192812,-1.01,0.51,3.78,-0.41,0.45
192901,0.68,6.04,11.70,3.43,5.59
192902,-1.52,1.35,-0.90,0.05,0.02
192903,-3.62,1.09,4.41,-1.50,-2.16
192904,1.10,2.44,2.48,1.48,0.44
192905,-9.68,-5.66,-3.68,-7.84,0.03
192906,7.03,12.44,15.73,4.52,5.73
192907,0.38,4.56,10.97,2.59,6.61
192908,4.94,9.73,11.92,3.09,7.82
192909,-5.72,-3.94,-5.10,-7.02,-6.44
192910,-20.45,-20.47,-22.65,-18.02,-11.88
192911,-12.20,-12.35,-14.84,-7.90,-9.58
192912,0.15,2.35,6.10,1.11,-0.49
193001,5.54,5.04,6.32,2.55,4.76
193002,0.47,2.23,7.45,3.15,3.29
193003,3.86,10.15,8.41,5.99,4.79
